roundNo	questionNo	questionText	answerText	imageUrl
Round 1 Player 1	Question 1	**Which city** hosted the 12th Asian Games in 1994? The emblem of the games is an abstract image of a dove in the shape of the first letter in the city's name, to hint at the city's desire for peace.	**Hiroshima**	https://i.imgur.com/4D539Zj.png
Round 1 Player 1	Question 2	Known locally as "Halab", **which city** at the crossroads of several trade routes between Europe and Asia was awarded UNESCO World Heritage Site status in 1986? It finds mention in multiple plays of Shakespeare, and is the location where a "Moor of Venice" stabbed "a malignant and a turban’d Turk" for beating a Venetian.	**Aleppo**; The Moor of Venice is Othello, who speaks about a time when he was in Aleppo. 	https://i.imgur.com/rI0BLhN.png
Round 1 Player 2	Question 1	Locals in Kullu believe that Lord Shiva created the pass and in Lahaul, they believe that it was created by Gyapo Gyasar, the king of Western Tibet. In the Ladakhi language, its name is Bhoti which translates to a “Pile of Corpses”, due to the numerous people who died trying to cross the mountain pass. **Which pass?**	**Rohtang** Pass	
Round 1 Player 2	Question 2	Going by the ancient texts on architecture and sculpture, if the Indian temple complex is designed to mirror the cosmos, **which mythical location** do the towering gopurams (temple towers) symbolise? It is even more accurately imagined in the five towers of the largest temple complex in the world at Angkor Wat. 	Mount **Meru** (or **Sumeru**); It is the sacred five-peaked mountain of Hindu, Jain, and Buddhist cosmology and is considered to be the centre of all the universes.	https://i.imgur.com/zSxXbDJ.jpg
Round 1 Player 3	Question 1	In 1926, Roald Amundsen and 15 other men made the first aerial crossing of the Arctic in the airship Norge. **Which archipelago**, with a more well-known 21st century claim to fame, did the airship take off from during the final leg?	**Svalbard** (Accept: **Spitsbergen**)	
Round 1 Player 3	Question 2	Argon is used to create an oxygenless atmosphere in **what high temperature industrial process** that involves the use of electricity to create enough heat to melt and fuse metals? The concept for the process was discovered by Humphry Davy in 1800. 	Arc **welding** (Accept: **welding**)	
Round 1 Player 4	Question 1	Outfits made using **what needlework style** - that involves interlocking loops of yarn or thread using a hooked needle - were worn by several attendees at Coachella 2022? This style gets its name from the French word for “hook”.	**Crochet**	https://i.imgur.com/Jswk0Z6.png
Round 1 Player 4	Question 2	**Which competitive medieval event's name** is derived from the Latin term "iuxtare" meaning "to approach or meet"? The same term is part of the phrase "verbal _____" (5), that refers to a garrulous debate.	**Joust/Jousting**	
Round 2 Player 1	Question 1	In the African savannah, giraffes munch on the leaves of this tree, inspite of its defence mechanism of thorns and unpleasant taste. **Name this species of hardwood**, probably originating from the Greek word "ake" meaning "point or thorn".	**Acacia**	https://i.imgur.com/3Hb0P2F.png
Round 2 Player 1	Question 2	"A cadet is assigned to accompany a blind captain on his trip to Naples, where he intends to commit suicide, but when a woman enters his life, he contemplates on his plan." This is the synopsis of the 1974 Italian film Profumo Di Donna. **Name the 1992 Hollywood remake**, which earned the lead actor his only Academy Award.	**Scent of a Woman**	
Round 2 Player 2	Question 1	The Sopranos is a series centred around an Italian-American Mafia don. The show encompasses family dynamics, drama and violence. **What is the letter 'r' in the title aptly stylised to represent**?	A **Gun**; Accept **revolver**, **pistol** or other similar alternatives. <br> <img src='https://i.imgur.com/cqnp51o.jpg' height='300px'>	
Round 2 Player 2	Question 2	**What fitness program** was created in the 1990s by Beto Pérez in Colombia after he forgot his usual music one day and instead used cassette tapes of Latin dance music for class? It is intended as a total-body cardio and aerobic workout.	**Zumba**	
Round 2 Player 3	Question 1	The Battle of Leyte Gulf (1944) was a decisive naval battle that crippled the Japanese who had thrown in their entire fleet against the combined forces of USA and Australia in a last ditch attempt to take control of the Pacific. After losing almost all of its fleet, **what desperate measure** was employed by the Japanese for the first time ever during this battle?	**Kamikaze** or **Divine Wind**; Accept: **suicide attacks using planes** or a similar description	
Round 2 Player 3	Question 2	The two major styles of temple architecture in India are Nagara in the north and Dravidian in the south. The third style is a *hybrid* of Nagara and Dravidian style of architecture and was therefore aptly named "vesara". The word “vesara” is Sanskrit for **which animal**?	**Mule** (A mule is the offspring of a male donkey and a female horse)	
Round 2 Player 4	Question 1	These panels from a Sandman comic show the chance encounter between Emperor Norton and **which struggling author**? The meeting is shown to have inspired a short story about a celebrated jumping frog that would be one of the first successes in an illustrious career. (Provide 35 seconds on direct)	Mark **Twain** OR Samuel Langhorne **Clemens**; The Celebrated Jumping Frog of Calaveras County <br> <img src='https://i.imgur.com/XbpmBFF.png' height='300px'>	https://i.imgur.com/szaql8M.png?1
Round 2 Player 4	Question 2	**Which city** hosted the 14th Asian Games in 2002? The emblem of the games combined sea waves with the Taegeuk to hint at the city's status as one of the world's major ports.	**Busan**; in South Korea.	https://i.imgur.com/uhBim2V.png
Round 3 Player 1	Question 1	An infant Hercules strangling a creature is used as the mascot as well as in the ads of Woodwards Gripe Water. When this brand came to India, the marketing campaign was localised and Hercules was replaced by a depiction of **which god** seen dancing upon and subduing the same creature?	Lord **Krishna** (Grudgingly accept: Vishnu) <br> <img src='https://i.imgur.com/DN2G7O3.jpg?1' height='300px'>	https://i.imgur.com/NjfgYbK.png?1
Round 3 Player 1	Question 2	BoJack Horseman is a series centred around the title character and his tribulations as a former TV star. **What is the letter 'C" in the title aptly stylised to represent**?	A **Horseshoe**  <br> <img src='https://i.imgur.com/wWADyz9.jpg' height='300px'>	
Round 3 Player 2	Question 1	Inhabited continuously since Neolithic times and referred to in the past by names as Jubayl and Giblet, **which Asian city** is associated with the discovery of the Phoenician alphabet? Declared a UNESCO World Heritage Site in 1984, a religious text may have derived its name from a Greek mispronunciation of the city’s name.	**Byblos**; The bible may have got its name from Byblos.	
Round 3 Player 2	Question 2	“In a Norwegian city with a 24-hour daylight cycle a Swedish murder investigator has been brought in on a special case. Sleep deprived, he makes a horrible mistake which is discovered by the killer he has been hunting.”  This is the synopsis of a 1997 Norwegian thriller. **Name the 2002 Hollywood remake of this film.**	**Insomnia**	
Round 3 Player 3	Question 1	**What term**, popularised by an 1809 Scottish work, was used to refer to knights that would travel across regions for various jousting tournaments *while not pledged to a single ruler*? The term is used in a similar vein in the modern world.	**Freelancer** or **Freelance** (Prompt: Mercenary); The work is Ivanhoe.	
Round 3 Player 3	Question 2	The Bridge, Da Capo and The Golden Ratio are albums by **which Swedish pop group**, comprised of siblings? The band's name is inspired by a popular song by Motörhead.	**Ace of Base**;  the Motörhead song is Ace of Spades	
Round 3 Player 4	Question 1	Krypton's multiple emission lines make ionised krypton gas discharges appear whitish. This has led to the use of small krypton-based bulbs in **what field** as a *flashy* bright white light source? 	**Photography** (Accept: **Filmmaking** and other reasonable alternatives)	
Round 3 Player 4	Question 2	The Border Roads Organisation created a world record in November 2021 by constructing the world's highest motorable road at the Umling La pass in Ladakh at an altitude of 19,024 feet. It overtook the road at **which mountain pass** at a height of 18,380 feet, essential to the supplies for the Siachen Glacier? 	**Khardung La** or **Khardung** Pass	
Round 4 Player 1	Question 1	A rainbow sequin version of **what one-piece garment** with the top and trousers attached together in one continuous piece did Harry Styles take to stage at Coachella 2022? Originally worn by certain members of the airforce, it became a staple with entertainers during the disco-era and orange versions gained popularity following the Netflix series Orange is the New Black.	**Jumpsuit** (Prompt: Onesie, Romper); originally worn by parachuters.	https://i.imgur.com/SCKRRGY.png
