roundNo	questionNo	questionText	imageUrl	answerText
Round 1 Player 1	Question 1	The FIFA Puskas award is given out to the male or female footballer judged to have scored the "most beautiful goal of the calendar year". The inaugural winner in 2009 received it for his long ranger vs. Porto which earned his club a semifinal berth in the UEFA Champions League. **Who**? Full name needed.	https://i.imgur.com/DIoMskm.gif	**Cristiano Ronaldo** (Prompt: Ronaldo)
Round 1 Player 1	Question 2	**Who became the president elect of an Asian country**, after winning the presidential elections held on May 9, 2022, defeating Leni Robredo, the nearest challenger, who represented the 1Sambayan coalition?		Ferdinand **Marcos Jr.**, or **Bongbong Marcos** (Accept: **Marcos**)
Round 1 Player 2	Question 1	The Justice Friends are a group of superheroes who exist in the Dexter's Laboratory universe. _____ _____ (5,5) is a character from Justice Friends, a parody of Marvel's Black Panther. **What is the name of this superhero**? He shares his name with a Booker Prize-winning novel.	https://i.imgur.com/FGf8Efz.png?1	**White Tiger**
Round 1 Player 2	Question 2	**Which culture hero and trickster** in Polynesian mythology does Dwayne Johnson play in Moana? Among other things, he is credited with the creation of the Hawaiian islands.	https://i.imgur.com/Xg255Gc.png?1	**Maui**
Round 1 Player 3	Question 1	The British Museum and BBC's radio series A History of the World in 100 Objects includes several coins and currencies used in ancient times. This gold coin of Croesus was produced in Lydia, over 2500 years ago. Lydia was renowned for its wealth, with most of its gold coming from the electrum in the river Pactolus. **Who was supposedly responsible** for all the gold washing down this river? 	https://i.imgur.com/pzw6zBR.png	**Midas**
Round 1 Player 3	Question 2	In 1801, Italian inventor Pellegrino Turri designed one of the first typing machines to aid his blind friend Countess Carolina Fivizzano in writing letters. **What did he also end up inventing** (two-word term) as a means to deliver ink to his machine? Its usage declined with the advent of computers, but the term still survives in the world of e-mail communication.		**Carbon Paper** or **Carbon Copy** (Accept: **CC**); Ralph Wedgewood received the first patent for carbon paper in 1806. Some typewritten letters by Countess Carolina to Turri still survive (visual)  <br> <img src='https://i.imgur.com/hCmi3xX.png' height='400px'>
Round 1 Player 4	Question 1	Just 70 days into the 1985 season, she had lost as many matches as she had during the entire 1984 campaign. During a tournament, she kept asking the other players if the lights were dim. This led **which tennis player** to don glasses for the best part of her career?		Martina **Navratilova** <br> <img src='https://i.imgur.com/veOyeht.png' height='400px'>
Round 1 Player 4	Question 2	**Which shooter**, with a biblical name, combines the following varieties of whiskey - Jim Beam, Jack Daniels, Johnnie Walker, and Jameson - used in equal-parts and served in a shot glass?		**Four Horsemen**
Round 2 Player 1	Question 1	In 1993, **which musician** made her on-screen debut alongside Tupac Shakur in Poetic Justice, the second film by John Singleton after the success of Boyz n the Hood? A year later she won her first Grammy in the R&B genre for the song That's the Way Love Goes from her self-titled fifth album.	https://i.imgur.com/cZyYDjX.png?2	Janet **Jackson**; <br> <img src='https://i.imgur.com/fLUv8i9.png' height='400px'>
Round 2 Player 1	Question 2	Known to the French as *Le Papillon Belle-Dame*, it is the most widespread of all butterfly species. Each year, it spreads northwards from the desert fringes of North Africa, the Middle East, and central Asia, recolonising mainland Europe and reaching Britain and Ireland. **Name this butterfly species.**	https://i.imgur.com/RJwAkTY.jpg	**Painted Lady**
Round 2 Player 2	Question 1	100 Iconic Bollywood Costumes is a 2019 book that chronicles the stories behind the fashion in Hindi films. **Which 1966 film**, starring Vyjayanthimala as a dancer in the court of Ajatashatru in the 5th century BC, saw her in this dress by Bhanu Athaiya? The designer incorporated motifs from the Ajanta Caves into the look of this garment.	https://i.imgur.com/5H1x06s.png	**Amrapali** <br> <img src='https://i.imgur.com/49aAUrE.png' height='400px'>
Round 2 Player 2	Question 2	In 2018, Danish Siddiqui captured the impact and activities of **which named service** in India that was launched in 1991 for inaccessible rural areas where medical services are not available? In this picture, patients at Jalore, Rajasthan wait for their dental checkup.	https://i.imgur.com/qKmGnrZ.png	**Lifeline** Express (Accept: **Jeevan Rekha** Express) <br> <img src='https://i.imgur.com/FpzlrOX.png' height='400px'>
Round 2 Player 3	Question 1	**Which Colombian** picked up the 2014 FIFA Puskas award for his goal vs. Uruguay in the second round of the FIFA World Cup? He chested the ball down with his back to goal, turned and volleyed an unstoppable effort from 25 metres into the top, left-hand corner of the net.	https://i.imgur.com/95qa0gq.gif	James **Rodriguez**
