roundNo	questionNo	questionText	imageUrl	answerText
Round 1 Player 1	Question 1	The First Circle of Hell in Dante’s Inferno is home to the unbaptised and the virtuous pagans. **Which 12th-century Muslim ruler**, known for his chivalry and opposition to certain religious campaigns of the time, is encountered here?		**Saladin** (Accept: **Sala-Ah-Din or Al-Nasir Salah Al-Din Yusuf Ibn Ayyub**) 
Round 1 Player 1	Question 2	**Which space observatory** operated by ESA from 2009 to 2013 studied the cosmic microwave background (CMB) by mapping its anisotropies? It is named after a German physicist who derived the formula for black-body radiation, which forms the basis for CMB research.		Max **Planck**
Round 1 Player 2	Question 1	**What type of cake popularised in Britain** forms the basis of most decorated cakes and is known for its soft, airy texture and ability to *soak up* flavours and fillings such as jams, preserves and custard sauce? It is made with egg whites, flour and sugar.		**Sponge** cake
Round 1 Player 2	Question 2	"I Always Loved You" by Robin Oliveira is a fictional biography about an artist and her relationship with Edgar Degas after she moved to Paris following the American Civil War. **Which artist** depicted in this painting by Edgar Degas? 	https://i.imgur.com/wL4NW1P.png?1	Mary **Cassatt**
Round 1 Player 3	Question 1	**What mathematical term** concerned with a type of number derives from a Latin term meaning “untouched or intact”? It was formed by adding a prefix implying “no” to the Latin word “tangere” which means “to touch”.		**Integer**; Integer is formed from the Latin words for in + tangere.
Round 1 Player 3	Question 2	**What object** inspired the bottle design of Carolina Herrera’s Good Girl? The object is named after a type of Italian dagger with a long slender blade and needle-like point.	https://i.imgur.com/g6Uja2z.jpg?1	**Stiletto**(s); Prompt on any reference to Heels / High Heels
Round 1 Player 4	Question 1	The Battle of Surfaces was an exhibition match played at the Palma Arena between Rafael Nadal and Roger Federer on a specially prepared half-grass, half-clay court. **What type of sporting arena** was converted to host this match?	https://i.imgur.com/85fPJdH.jpg?1	**Velodrome **(Accept: Any reference to **cycling**)
Round 1 Player 4	Question 2	The canals of Havers are a series of microscopic tubes that allow blood vessels and nerves to travel through the outermost region of  **which group of rigid structures** to supply the osteocytes? These structures come in various shapes and sizes.		**Bones**
Round 2 Player 1	Question 1	Doug Jones is an American actor best known for portraying non-human roles. For playing **which character** in a 2007 superhero sequel was he required to wear a monochrome suit, with facial expressions rendered later using CGI? The alliterative two-word name of the character can be used to refer to an *elderly browser of the internet*.		**Silver Surfer** (Accept: **Fantastic Four: Rise of the Silver Surfer**; Don't Prompt: Fantastic Four)
Round 2 Player 1	Question 2	**Which Dutch field hockey legend**, nicknamed the "Executioner" because of his deadly strikes and precision set-plays, was top scorer at the 1976 Olympics with 11 goals? 		Paul **Litjens** 
Round 2 Player 2	Question 1	In 2009, the European Space Agency launched the then-largest infrared space observatory. **Which German-born British astronomer** is it named after? He discovered the infrared spectrum in 1800.		William **Herschel**
Round 2 Player 2	Question 2	Henri Dunant was inspired to form the International Committee of the Red Cross after he witnessed the suffering of wounded soldiers following **which 1859 battle** that was fought between the Franco-Sardinian Alliance and the Austrian Army? The decisive engagement played a crucial part in the process of Italian Unification.		Battle of **Solferino**
Round 2 Player 3	Question 1	**Which central holy scripture** of a religion from the Indian subcontinent has its key sections classified according to the ragas in which the hymns are to be sung? There are 31 single ragas and 29 mixed (or mishrit) ragas, that combine two or three ragas together.		**Guru Granth Sahib** (Accept: **Adi Granth**; Prompt: Sikhism)
Round 2 Player 3	Question 2	S2E3 of the TV series House features a patient who drops from the roof of a building. The doctors try their best, but still can’t put the patient back together to his previous self. **What is the rhyming title of the episode?**		**Humpty Dumpty**
Round 2 Player 4	Question 1	There has been a recent spike in tourist trips from Shellal to Wadi Halfa retracing the route taken by the S. S. Karnak. Some even begin the experience with a leisurely stay at the Old Cataract Hotel. **Which creative work**, that caused a similar tourist spike 85 years ago, is the basis for these trips? 		**Death on the Nile** by Agatha Christie; The recent spike is because of the Kenneth Branagh film adaptation.
