roundNo	questionNo	questionText	answerText	imageUrl
Round 1 Player 1	Question 1	**Which 19th century painter** spent 43 years in this house in Giverny, that has now been transformed into a museum? The museum's highlights are its two gardens – Clos Normand and the Water Garden – elements from which have been immortalised in the artist's works. 	Claude **Monet**	https://i.imgur.com/dRbZzLM.png
Round 1 Player 1	Question 2	Part of the nation of Papua New Guinea and located to its northeast, **which sea** was the site of a major Japanese naval defeat in March 1943? It is named for the Reichskanzler of the colonial power that controlled these waters from 1885 until 1914.	 **Bismarck** Sea (Accept: **Otto von Bismarck**)	https://i.imgur.com/hCkR6gj.png
Round 1 Player 2	Question 1	The Great Spa Towns of Europe is a transnational World Heritage Site consisting of 11 spa towns across seven European countries. **Which city**, that gets its name from the structures built by the Romans around the city's natural springs, is the only site from England that is part of this list?	**Bath**	
Round 1 Player 2	Question 2	In the first installment of Assassin’s Creed, the assassin Altair approaches the commander of a faction fighting in the Battle of Arsuf in 1191 AD. Altair urges this commander to make peace with the larger and stronger opposition. **Who is this commander** that won the battle in real life?	**Richard the Lionheart**; (Accept **Richard I**; Prompt: Richard or King of England); You can see the lion insignia on his chest. He defeated Saladin during the Third Crusade.	https://i.imgur.com/NCOPdRR.png
Round 1 Player 3	Question 1	Guitarist Zoltan Bathory stated that he came up with the name Five Finger Death Punch for his band after being amused by a scene involving a similar move in **which 2004 film**?	**Kill Bill: Volume 2** (Grudingly Accept: **Kill Bill**)	
Round 1 Player 3	Question 2	In 1954, Har Gobind Khorana used the carbodiimide reaction to synthesise **which organic compound** that was discovered by Yellapragada Subbarow and Cyrus Fiske? Found in all known forms of life, it is the principal molecule for storing and transferring energy in cells. 	**ATP** or **Adenosine triphosphate**	
Round 1 Player 4	Question 1	Glenn Close has been nominated eight times for an Academy Award but is yet to win one. In 2012, she was nominated for her role as the titular Albert Nobbs but lost out to **which actress** who holds her own Academy Award superlative? She won for her role in a biopic about an aging politician.	**Meryl Streep**, who won for The Iron Lady <br> <img src='https://i.imgur.com/pRUHo71.png' width='300px'>	https://i.imgur.com/NuDhmEC.png
Round 1 Player 4	Question 2	In 1654, **which French mathematician** was presented with two gambling problems related to a popular dice game by his friend Antoine Gombaud? This led to the notion of expected value and the invention of probability theory, which laid the framework for an eponymous wager, published posthumously in the Pensées, to justify belief in God and a virtuous life. 	Blaise **Pascal**	
Round 2 Player 1	Question 1	Travels with a _________ (9) : From Morocco to Turkey in the Footsteps of Islam's Greatest Traveler by Tim Mackintosh-Smith traces the journey of Ibn Battuta. **What demonym** (9) fills in the blank? It describes a resident of Ibn Battuta's hometown and is also the name of a citrus fruit named after the same city.	**Tangerine** (Prompt: Tangier); A Tangerine is a native of Tangier.	
Round 2 Player 1	Question 2	Embraced as a symbol of balance in various occult traditions, **which half-human, half-goat** was allegedly worshipped as a deity by the Templars? In the 19th century, this deity got intertwined with Éliphas Lévi's Sabbatic Goat image, which later inspired the symbol of the devil in tarot decks.	**Baphomet**	https://i.imgur.com/YqEA9a7.png
